title,rank,date,artist,url,region,chart,trend,streams
All I Want for Christmas Is You,61,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Italy,top200,MOVE_UP,46152
All I Want for Christmas Is You,47,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Japan,top200,MOVE_UP,8146
All I Want for Christmas Is You,5,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Latvia,top200,MOVE_UP,2652
All I Want for Christmas Is You,3,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Lithuania,top200,SAME_POSITION,3052
All I Want for Christmas Is You,86,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Malaysia,top200,MOVE_UP,6155
All I Want for Christmas Is You,81,2017-11-04,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Denmark,top200,MOVE_UP,14699
All I Want for Christmas Is You,25,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Netherlands,top200,MOVE_UP,102817
All I Want for Christmas Is You,31,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,New Zealand,top200,MOVE_UP,22752
All I Want for Christmas Is You,2,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Norway,top200,MOVE_UP,129115
All I Want for Christmas Is You,193,2017-12-01,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Norway,top200,NEW_ENTRY,14400
All I Want for Christmas Is You,137,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Panama,top200,NEW_ENTRY,1170
All I Want for Christmas Is You,106,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Philippines,top200,MOVE_UP,29045
All I Want for Christmas Is You,3,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Poland,top200,MOVE_UP,37637
All I Want for Christmas Is You,71,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Singapore,top200,MOVE_UP,9366
All I Want for Christmas Is You,22,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Portugal,top200,MOVE_UP,11349
