Position;Track_Name;Artist;Streams;URL
58;INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;89824;https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
59;Índigo;Camilo;89639;https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu
60;Búscate Otro;Atomic Otro Way;88707;https://open.spotify.com/track/5nZ7DPFgkSueMjpaVZf3wz
61;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Tainy;88666;https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
62;Sabe;Nicki Nicole;88330;https://open.spotify.com/track/0XYZhJIcwKNjd0tjbSXwaQ
63;Beba Qué Quieres Que Haga;Omar Montes;86553;https://open.spotify.com/track/49iOVtExuJU9faigS2JRUf
64;Ella - Remix;Boza;84500;https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
65;Libertad;Nil Moliner;83842;https://open.spotify.com/track/1kG7gfH4HDUlDht0VZYkiP
66;Diablita Remix;Fabbio;82698;https://open.spotify.com/track/1CMPYloogotoC6z9n9wdQT
67;She Don't Give a Fo;Duki;82466;https://open.spotify.com/track/03a359wbiUsjN9h6yzXvmS
68;La Niña de la Escuela;Lola Indigo;82073;https://open.spotify.com/track/1g4cZvi0nLeeIycd0Rkljj
69;No Te Deseo el Mal;Eladio Carrion;81980;https://open.spotify.com/track/3HQxzXOb4p9pfpD5gP38D5
70;La Botella;Justin Quiles;77885;https://open.spotify.com/track/6GPBXtnSepHovJi1uD1Ggj
71;AM Remix;Nio Garcia;76699;https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
72;McGregor;Anuel AA;75166;https://open.spotify.com/track/5zaIVQv1oPnTa86BUmmbjz
73;Soñar;Morad;74810;https://open.spotify.com/track/3lI1sZnyM1Ju3ApgNo0ITT
74;REDBULL;Eladio Carrion;74701;https://open.spotify.com/track/0hnKRMSdo87O1dqkBQivFs
75;Bad Habits;Ed Sheeran;73261;https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
76;911 - Remix;Sech;71584;https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
77;abcdefu;GAYLE;71210;https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
78;Fiel;Los Legendarios;70867;https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
79;Me Gustas Natural;Eladio Carrion;70646;https://open.spotify.com/track/1Sym1HsTqsa2pYKhYL1j15
80;Do It To It;ACRAZE;70360;https://open.spotify.com/track/20on25jryn53hWghthWWW3
81;Oh Na Na;Camila Cabello;70195;https://open.spotify.com/track/03NqHNdG3Ur6kciQWK6e8V
82;Medallo;Blessd;69774;https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
83;Un beso de improviso;Ana Mena;69506;https://open.spotify.com/track/0NSLB3GCpO9SU69XH8jjiF
84;Clima Tropical;Dani Fernández;69128;https://open.spotify.com/track/7wD6WAp1lowdxnvEfgyvNV
85;LA NOCHE DE ANOCHE;Bad Bunny;68991;https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
86;Dictadura;Anuel AA;67618;https://open.spotify.com/track/16RRpUyUDjkIept8AymRiL
87;Beggin';Måneskin;67527;https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
88;Last Christmas;Wham!;67461;https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
89;Vida de Rico;Camilo;66554;https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
90;Aquel Nap ZzZz;Rauw Alejandro;65213;https://open.spotify.com/track/2qyLvNLktrdc67OgaayqMW
91;Rakata - Remix;Moncho Chavea;65185;https://open.spotify.com/track/7kbKXgIpWuljf9WUYoelqg
92;512;Mora;65101;https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
93;Heat Waves;Glass Animals;65006;https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
94;Shivers;Ed Sheeran;64975;https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
95;Una Nota;J Balvin;64722;https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
96;2/Catorce;Rauw Alejandro;64482;https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
97;A Un Paso De La Luna;Ana Mena;64304;https://open.spotify.com/track/7ql2RUmAmj36tkMUNWo7MT
98;Bar;TINI;63840;https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC
99;En Mi Cuarto;Jhay Cortez;63799;https://open.spotify.com/track/2Doh4izLZGrUD3yOSs9y9G
100;Veneno;Delaossa;63714;https://open.spotify.com/track/5BopknbHSxEm9Ohcs4IbGu
101;Se Menea;Don Omar;63681;https://open.spotify.com/track/1ZcrHpBbILPNfhBtPhQVHh
102;Llueve sobre mojado;Pablo Alborán;63392;https://open.spotify.com/track/3z4XtoZVf8AOoR18Lnp7e1
103;Malbec;Duki;63149;https://open.spotify.com/track/6KEb17S00Inf0v1qYDgUAj
104;Bandido;Myke Towers;62063;https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
105;Don't Go Yet;Camila Cabello;61689;https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
106;Sobrio;Maluma;61491;https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
107;Fulanito;Becky G;61151;https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg
108;Llorando en un Ferrari;Anuel AA;60966;https://open.spotify.com/track/0x4Kmsd1YLB9emO8thJ62U
109;Flow 2000;Bad Gyal;60586;https://open.spotify.com/track/1BOLgpXolZEcIaCEIuFhPM
110;Dos Días al Mes;Hens;60498;https://open.spotify.com/track/4Ws1SBzrc8MgbtxVyXFfyP
111;Bandido;Cyril Kamer;60411;https://open.spotify.com/track/46uq7ujuDTwd5ltc027ovw
112;La Curiosidad;Jay Wheeler;59716;https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
113;Nicky Jam: Bzrp Music Sessions, Vol. 41;Bizarrap;59588;https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
114;París;Ingratax;59475;https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
115;love nwantiti (ah ah ah);CKay;59394;https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
116;good 4 u;Olivia Rodrigo;59191;https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
117;Borracho;Sech;58719;https://open.spotify.com/track/0rsTDgGRlXKuzSAxcdb4Ns
118;MONTERO (Call Me By Your Name);Lil Nas X;56661;https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
119;Alejarme de Ti;Eladio Carrion;56377;https://open.spotify.com/track/4YV8COy6CS7PBFHw0AO4pF
120;Entre Nosotros;Tiago PZK;55689;https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
121;Cómo Están?;Morad;55411;https://open.spotify.com/track/5UnRXuem4qHseiCREBB7D7
122;Eladio Carrion: Bzrp Music Sessions, Vol. 40;Bizarrap;55320;https://open.spotify.com/track/1VauUM5CBX7nkLcgafQL2B
123;Porfa no te vayas;Beret;55032;https://open.spotify.com/track/4J2HLNTxiVxxs6kWgTIN43
124;Ella No Es Tuya - Remix;Rochy RD;54692;https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
125;La Llamada;Pusho;53994;https://open.spotify.com/track/4VlVJff7viYXRb7TbmXGGP
126;Cuarentena;Eladio Carrion;53547;https://open.spotify.com/track/7zNGzcGEnfVld7PdlXSeSa
127;In Da Getto;J Balvin;52682;https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
128;Tu jardín con enanitos;Melendi;52484;https://open.spotify.com/track/6yCjU5j6YHbux2VQCBTTE1
