Position;Track_Name;Artist;Streams;URL
55;Sweater Weather;The Neighbourhood;10365870;https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
56;Better Days (NEIKED x Mae Muller x Polo G);NEIKED;10251925;https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
57;LA FAMA (with The Weeknd);ROSALÍA;10169726;https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
58;Volví;Aventura;10133832;https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
59;My Little Love;Adele;10079245;https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
60;Feliz Navidad;José Feliciano;10073595;https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
61;Underneath the Tree;Kelly Clarkson;9908761;https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
62;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;9861688;https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
63;Snowman;Sia;9785868;https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
64;Save Your Tears (with Ariana Grande) (Remix);The Weeknd;9571228;https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
65;Nostálgico;Rvssian;9530016;https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
66;Leave The Door Open;Bruno Mars;9389749;https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
67;Watermelon Sugar;Harry Styles;9143299;https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
68;Butter;BTS;9033548;https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
69;Way 2 Sexy (with Future & Young Thug);Drake;8983451;https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
70;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;8893289;https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
71;DÁKITI;Bad Bunny;8872568;https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
72;The Christmas Song (Merry Christmas To You);Nat King Cole;8845475;https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
73;Don't Be Shy;Tiësto;8783728;https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
74;Salimo de Noche;Tiago PZK;8728373;https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
75;Sleigh Ride;The Ronettes;8714081;https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
76;Save Your Tears;The Weeknd;8696296;https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
77;Praise God;Kanye West;8613050;https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
78;Driving Home for Christmas - 2019 Remaster;Chris Rea;8519756;https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
79;DANCE CRIP;Trueno;8460035;https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
80;Knife Talk (with 21 Savage ft. Project Pat);Drake;8450584;https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
81;Rolling in the Deep;Adele;8392187;https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
82;Holly Jolly Christmas;Michael Bublé;8294697;https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
83;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;8219120;https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
84;Overpass Graffiti;Ed Sheeran;8156886;https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
85;Enchanted;Taylor Swift;8127964;https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
86;You Right;Doja Cat;8091663;https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
87;Volando - Remix;Mora;8079536;https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
88;deja vu;Olivia Rodrigo;8024502;https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
89;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;7982697;https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
90;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;7974578;https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
91;Dynamite;BTS;7956391;https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
92;Someone You Loved;Lewis Capaldi;7930789;https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
93;Dark Red;Steve Lacy;7928718;https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
